model,brightness,clean,defocus_blur,gaussian_noise,jpeg_compression,motion_blur
catnet,1.0,1.0,0.9961240310077519,0.4728682170542636,0.9728682170542635,0.9341085271317829
densenet121,0.9806201550387597,1.0,0.9341085271317829,0.5310077519379844,0.9767441860465116,0.8294573643410853
efficientnet_b0,0.9612403100775193,0.9767441860465116,0.8953488372093023,0.4457364341085271,0.8914728682170542,0.7790697674418604
mobilenetv3_large,0.9844961240310077,1.0,0.8875968992248061,0.3488372093023256,0.8488372093023256,0.9031007751937984
resnet50,1.0,1.0,0.9534883720930232,0.5077519379844961,0.9573643410852712,0.87984496124031
vit_b16,0.9224806201550387,0.9883720930232558,0.8992248062015503,0.8217054263565892,0.9689922480620154,0.8488372093023256
