model,brightness,clean,defocus_blur,gaussian_noise,jpeg_compression,motion_blur
catnet,0.9532228360957643,0.9657458563535911,0.8791896869244935,0.3174953959484346,0.8666666666666667,0.705709023941068
densenet121,0.9307550644567218,0.9546961325966851,0.8217311233885819,0.42541436464088395,0.8257826887661142,0.567219152854512
efficientnet_b0,0.9528545119705342,0.974585635359116,0.8449355432780847,0.2556169429097606,0.8604051565377532,0.7178637200736647
mobilenetv3_large,0.9572744014732965,0.96353591160221,0.885451197053407,0.252670349907919,0.7988950276243094,0.7255985267034991
resnet50,0.9381215469613259,0.9569060773480663,0.8633517495395949,0.46961325966850825,0.7627992633517495,0.6644567219152854
vit_b16,0.936279926335175,0.958011049723757,0.9285451197053408,0.7723756906077348,0.9285451197053408,0.8261510128913443
