model,accuracy,acc_ci,f1_macro,f1_ci,kappa,ece
ResNet-50,100.0,"[100.00, 100.00]",100.0,"[100.00, 100.00]",1.0,0.0394
DenseNet-121,100.0,"[100.00, 100.00]",100.0,"[100.00, 100.00]",1.0,0.054
EfficientNet-B0,97.67,"[94.19, 100.00]",96.95,"[91.69, 100.00]",0.963,0.0397
MobileNetV3-L,100.0,"[100.00, 100.00]",100.0,"[100.00, 100.00]",1.0,0.0618
ViT-B/16,98.84,"[96.51, 100.00]",99.04,"[96.83, 100.00]",0.9816,0.0453
CAT-Net,100.0,"[100.00, 100.00]",100.0,"[100.00, 100.00]",1.0,0.0539
